2026-04-28 15:33:47 | ERROR    | pipeline | Product W0743140A skipped due to unexpected error: APIError: [400]: Unable to parse range: 'ImageBank'!]2
2026-04-28 15:35:43 | INFO     | __main__ | Config loaded successfully.
2026-04-28 15:35:47 | INFO     | pipeline | Pipeline started.
2026-04-28 15:35:47 | INFO     | services.sheetservices | Sheet headers loaded: ['Sr. No.', "Start work (Vishestha's signal)", 'New_Product_Id', 'Product/SKU ID', 'Product_Image_Main_URL', '', 'Second_Image_Ifany', 'Third_Image_Ifany', 'Fourth image', 'Sub_Category_Name', 'Output URL Agency', 'output_image_1', 'output_image_2', 'output_image_3']
2026-04-28 15:35:48 | INFO     | services.sheetservices | Fetched 6 unprocessed products from sheet.
2026-04-28 15:35:48 | INFO     | pipeline | Processing product 1/6: W0743140A
2026-04-28 15:35:49 | WARNING  | services.image_classifier | Classification failed for https://oms.awl.lxcn.com/uploads/goods/W0743140A/W0743140A (1).jpg, defaulting to PRODUCT_ONLY. Error: 404 Client Error: Not Found for url: https://oms.awl.lxcn.com/uploads/goods/W0743140A/W0743140A%20(1).jpg
2026-04-28 15:35:54 | INFO     | services.fashion_service | [W0743140A] view_1 → product-to-model job 019dd38d-67e6-7be3-82bf-75c62a7b122c
2026-04-28 15:36:02 | ERROR    | services.fashion_service | [W0743140A] view_1 failed: Job failed: ImageLoadError — Failed to load product image: HTTP error loading image from URL: https://oms.awl.lxcn.com/uploads/goods/W0743140A/W0743140A (1).jpg. Error: 404 Client Error: Not Found for url: https://oms.awl.lxcn.com/uploads/goods/W0743140A/W0743140A%20(1).jpg
2026-04-28 15:36:02 | ERROR    | pipeline | [W0743140A] view_1 ✗ — Job failed: ImageLoadError — Failed to load product image: HTTP error loading image from URL: https://oms.awl.lxcn.com/uploads/goods/W0743140A/W0743140A (1).jpg. Error: 404 Client Error: Not Found for url: https://oms.awl.lxcn.com/uploads/goods/W0743140A/W0743140A%20(1).jpg
2026-04-28 15:36:05 | WARNING  | services.image_classifier | Classification failed for https://oms.awl.lxcn.com/uploads/goods/W0743140A/W0743140A (2).jpg, defaulting to PRODUCT_ONLY. Error: 400 Client Error: Bad Request for url: https://api.anthropic.com/v1/messages
2026-04-28 15:36:09 | INFO     | services.fashion_service | [W0743140A] view_2 → product-to-model job 019dd38d-a30a-7673-8b19-71473211cfaf
2026-04-28 15:36:50 | INFO     | services.fashion_service | [W0743140A] view_2 completed → https://cdn.fashn.ai/019dd38d-a30a-7673-8b19-71473211cfaf/product_to_model_0.jpeg
2026-04-28 15:36:52 | INFO     | services.storage_service | Downloaded to local: outputs\W0743140A\view_2.jpeg
2026-04-28 15:36:52 | INFO     | pipeline | [W0743140A] view_2 ✓
2026-04-28 15:36:56 | WARNING  | services.image_classifier | Classification failed for https://oms.awl.lxcn.com/uploads/goods/W0743140A/W0743140A (3).jpeg, defaulting to PRODUCT_ONLY. Error: 400 Client Error: Bad Request for url: https://api.anthropic.com/v1/messages
2026-04-28 15:36:59 | INFO     | services.fashion_service | [W0743140A] view_3 → product-to-model job 019dd38e-66ae-7573-8972-481e5bee86ff
2026-04-28 15:37:34 | INFO     | services.fashion_service | [W0743140A] view_3 completed → https://cdn.fashn.ai/019dd38e-66ae-7573-8972-481e5bee86ff/product_to_model_0.jpeg
2026-04-28 15:37:35 | INFO     | services.storage_service | Downloaded to local: outputs\W0743140A\view_3.jpeg
2026-04-28 15:37:35 | INFO     | pipeline | [W0743140A] view_3 ✓
2026-04-28 15:37:37 | INFO     | services.sheetservices | Written output_image_2 for W0743140A: outputs\W0743140A\view_2.jpeg
